Name,Country_ of_Registry,Country_of_Operator,Users,Purpose,Class_of_Orbit,Launch_Mass,Date_of_Launch,Launch_Site,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORBCOMM OG2 FM-108,NR (12/16),USA,Commercial,Communications,GEO,172,12/22/15,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORBCOMM OG2 FM-110,NR (12/16),USA,Commercial,Communications,GEO,172,12/22/15,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORBCOMM OG2 FM-112,NR (12/16),USA,Commercial,Communications,MEO,172,12/22/15,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORBCOMM OG2 FM-113,NR (12/16),USA,Commercial,Communications,MEO,172,12/22/15,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORBCOMM OG2 FM-114,NR (12/16),USA,Commercial,Communications,GEO,172,12/22/15,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx554.html,http://www.panamsat.com/global_network/galaxy_11.asp,,,,JM/304
ORBCOMM OG2 FM-115,NR (12/16),USA,Commercial,Communications,GEO,172,12/22/15,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORBCOMM OG2 FM-116,NR (12/16),USA,Commercial,Communications,GEO,172,12/22/15,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORBCOMM OG2 FM-117,NR (12/16),USA,Commercial,Communications,LEO,172,12/22/15,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORBCOMM OG2 FM-118,NR (12/16),USA,Commercial,Communications,GEO,172,12/22/15,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORBCOMM OG2 FM-119,NR (12/16),USA,Commercial,Communications,GEO,172,12/22/15,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Express AMU1 (Eutelsat 36C),Russia,Russia,Commercial,Communications,MEO,"2,700",12/24/15,Baikonur Cosmodrome,Pathfinfrrs for Russian Satelite Communications Gntersputnik's 2036 Baiellico GEO conscollation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaofen 4,NR,China,Government,Earth Observation,MEO,"4,600",12/28/15,Xichang Satellite Launch Center,China's first earth observation satellite in GEO.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belintersat-1,NR,Belarus,Government,Communications,GEO,"5,223",1/15/16,Xichang Satellite Launch Center,"Belarus' first communications satellite - 10 transponders reserved, 2 for Belarus' government, and 8 for Chinese companies. Will market remaining capacity in Africa, Asia, Europe.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason 3,NR (12/16),USA/France,Government,Earth Observation,GEO,553,1/17/16,Vandenberg AFB,Monitor sea surface level and wave heights.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRNSS-1E (Indian Regional Navigation Satellite System),NR,India,Government,Navigation/Regional Positioning,LEO,"1,425",1/20/16,Satish Dhawan Space Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 29E,NR (12/16),USA,Commercial,Communications,LEO,"6,500",1/27/16,Guiana Space Center,New EPIC class of Intelsat satellites.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eutelsat Hot Bird 13E (Eutelsat 9B),NR (12/16),Multinational,Commercial,Communications,LEO,"5,200",1/29/16,Baikonur Cosmodrome,"Carries a laser terminal that is the first of at least two planned for the European Data Relay System, a public-private partnership with a budget of about 500 million euros ($545 million).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beidou 3M-3S,NR (12/16),China,Military/Government,Navigation/Global Positioning,LEO,800,2/1/16,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Navstar GPS IIF-12 (Navstar SVN 70, PRN 32, USA 266)",NR (12/16),USA,Military/Commercial,Navigation/Global Positioning,LEO,"1,630",2/5/16,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Glonass 751 (Glonass-M, Cosmos 2514)",Russia,Russia,Military/Commercial,Navigation/Global Positioning,LEO,"1,415",2/7/16,Plesetsk Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sentinel 3A,NR (12/16),ESA,Government,Earth Observation,LEO,"2,300",2/16/16,Plesetsk Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ChubuSat 2 (Kinshachi-2),NR (12/16),Japan,Civil,Technology Development,LEO,50,2/17/16,Tanegashima Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ChubuSat 3 (Kinshachi-3),NR (12/16),Japan,Civil,Technology Development,LEO,50,2/17/16,Tanegashima Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SES-9,NR (12/16),USA,Commercial,Communications,LEO,"5,271",3/4/16,Cape Canaveral,"All Ku-band, 57 transponders.  Asia-Pacific region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eutelsat 65 West-A,NR (12/16),Multinational,Commercial,Communications,LEO,"6,654",3/9/16,Guiana Space Center,Launched in time to cover Rio Olympics. Will serve primarily Latin America.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRNSS-1F (Indian Regional Navigation Satellite System),NR (12/16),India,Government,Navigation/Regional Positioning,LEO,"1,425",3/10/16,Satish Dhawan Space Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resurs-P3,Russia,Russia,Government/Commercial,Earth Observation,LEO,"5,900",3/13/16,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARS-M (Cosmos 2515),Russia,Russia,Military,Earth Observation,LEO,"4,000",3/24/16,Plesetsk Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beidou 2-17 (IGSO-6),NR (12/16),China,Military/Government,Navigation/Global Positioning,LEO,"4,200",3/30/16,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAUSat-4,NR (12/16),Denmark,Civil,Earth Observation,LEO,1,4/25/16,Guiana Space Center,Carries AIS system.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e-st@r-2,Italy,Italy,Civil,Technology Development,LEO,1,4/25/16,Guiana Space Center,Demonstrate an attitude control system using measurements of Earth’s magnetic field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MICROSCOPE (MICRO-Satellite à traînée Compensée pour l'Observation du Principe d'Equivalence),NR (12/16),ESA,Government,Space Science,LEO,300,4/25/16,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sentinel 1B,NR (12/16),ESA,Government,Earth Observation,LEO,"2,300",4/25/16,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIST-2D,Russia,Russia,Civil,Technology Development,LEO,531,4/27/16,Vostochny Cosmodrome,"Aist 2D also carries an innovative radar operating in P-band, a wavelength that penetrates through forest canopies and Earth’s surface to study underground structures.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mikhailo Lomonosov (MVL-300),Russia,Russia,Civil/Government,Space Science,LEO,645,4/27/16,Vostochny Cosmodrome,Pinpoint the origin of mysterious brilliant flashes of light in the upper atmosphere called transient luminous events.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRNSS-1G (Indian Regional Navigation Satellite System),NR (12/16),India,Government,Navigation/Regional Positioning,LEO,"1,425",4/28/16,Satish Dhawan Space Centre,Final satellite in the seven-satellite regional system.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JCSat 14 (JCSat 2B, Japan Communications Satellite 14)",NR (12/16),Japan,Commercial,Communications,LEO,"4,500",5/6/16,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaogan 30 (Remote Sensing Satellite 30),NR (12/16),China,Military,Earth Observation,LEO,"2,700",5/15/16,Jiuquan Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2e-1 (0 Flock 2E-1 0C37),NR,USA,Commercial,Earth Observation,LEO,4,5/17/16,International Space Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2e-2 (0 Flock 2E-2 0C78),NR,USA,Commercial,Earth Observation,LEO,4,5/17/16,International Space Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2e-3 (0 Flock 2E-3 0C60),NR,USA,Commercial,Earth Observation,LEO,4,5/17/16,International Space Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2e-4 (0 Flock 2E-4 0C41),NR,USA,Commercial,Earth Observation,LEO,4,5/17/16,International Space Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2ep-1 (0 Flock 2EP-1 0D05),NR,USA,Commercial,Earth Observation,LEO,4,5/17/16,International Space Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2ep-2 (0 Flock 2EP-2 0C1B),NR,USA,Commercial,Earth Observation,LEO,4,5/17/16,International Space Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2ep-3 (0 Flock 2EP-3 0D06),NR,USA,Commercial,Earth Observation,LEO,4,5/17/16,International Space Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2ep-4 (0 Flock 2EP-4 0C22),NR,USA,Commercial,Earth Observation,LEO,4,5/17/16,International Space Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Galileo FOC FM10 (0210, Galileo 13, PRN E01)",NR (12/16),ESA,Commercial,Navigation/Global Positioning,LEO,723,5/24/16,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Galileo FOC FM11 (0211, Galileo 14, PRN E02)",NR (12/16),ESA,Commercial,Navigation/Global Positioning,LEO,723,5/24/16,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thaicom-8,NR (12/16),Thailand,Commercial,Communications,GEO,"3,025",5/27/16,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÑuSat-1 (Fresco),NR (12/16),Argentina,Commercial,Earth Observation,GEO,35,5/29/16,Taiyuan Launch Center,Start-up for new earth observation company in Argentina.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÑuSat-2 (Batata),NR (12/16),Argentina,Commercial,Earth Observation,GEO,35,5/29/16,Taiyuan Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Glonass 753 (Glonass-M, Cosmos 2516)",Russia,Russia,Military/Commercial,Navigation/Global Positioning,GEO,"1,415",5/29/16,Plesetsk Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ziyuan 3-2,NR (12/16),China,Government,Earth Observation,LEO,"2,630",5/29/16,Taiyuan Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2e-5 (0 Flock 2E-5 0C43),NR,USA,Commercial,Earth Observation,LEO,4,5/30/16,International Space Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2e-6 (0 Flock 2E-6 0C75),NR,USA,Commercial,Earth Observation,LEO,4,5/30/16,International Space Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2e-7 (0 Flock 2E-7 0C24),NR,USA,Commercial,Earth Observation,LEO,4,5/31/16,International Space Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2e-8 (0 Flock 2E-8 0C2B),NR,USA,Commercial,Earth Observation,LEO,4,5/31/16,International Space Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2e-10 (0 Flock 2E-10 0C82),NR,USA,Commercial,Earth Observation,LEO,4,6/1/16,International Space Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2e-11 (0 Flock 2E-11 0C13),NR,USA,Commercial,Earth Observation,LEO,4,6/1/16,International Space Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2e-12 (0 Flock 2E-12 0C79),NR,USA,Commercial,Earth Observation,LEO,4,6/1/16,International Space Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2e-9 (0 Flock 2E-9 0C14),NR,USA,Commercial,Earth Observation,LEO,4,6/1/16,International Space Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2ep-5 (0 Flock 2EP-5 0C59),NR,USA,Commercial,Earth Observation,LEO,4,6/1/16,International Space Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2ep-6 (0 Flock 2EP-6 0C46),NR,USA,Commercial,Earth Observation,LEO,4,6/1/16,International Space Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2ep-7 (0 Flock 2EP-7 0C42),NR,USA,Commercial,Earth Observation,LEO,4,6/1/16,International Space Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2ep-8 (0 Flock 2EP-8 0C76),NR,USA,Commercial,Earth Observation,LEO,4,6/1/16,International Space Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2ep-10 (0 Flock 2EP-10 0C65),NR,USA,Commercial,Earth Observation,LEO,4,6/3/16,International Space Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2ep-11 (0 Flock 2EP-11 0C27),NR,USA,Commercial,Earth Observation,LEO,4,6/3/16,International Space Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2ep-12 (0 Flock 2EP-12 0C81),NR,USA,Commercial,Earth Observation,LEO,4,6/3/16,International Space Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2ep-9 (0 Flock 2EP-9 0C19),NR,USA,Commercial,Earth Observation,LEO,4,6/3/16,International Space Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEO IK2 (Cosmos 2517),Russia,Russia,Military,Earth Science,LEO,900,6/5/16,Plesetsk Cosmodrome,"Designed to measure variations in the Earth’s gravitational field, to build a high-precision geodetic network in the geocentric coordinate system, as well as study continental plate motion, tides, the Earth’s rotation and coordinates of poles.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 31/DLA 2,NR (12/16),USA,Commercial,Communications,LEO,"6,450",6/9/16,Baikonur Cosmodrome,DirecTV Latin America has leased all of the satellite’s Ku-band communications capacity to broadcast hundreds of high-definition television channels to customers across Central and South America and the Caribbean. Intelsat retains the use of a smaller C-band payload on the spacecraft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advanced Orion 7 (Mentor, NRO L-37, USA 268)",NR (12/16),USA,Military,Earth Observation,LEO,"5,000",6/11/16,Cape Canaveral,ELINT.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beidou 2-18 (Compass G-7),NR (12/16),China,Military/Government,Navigation/Global Positioning,GEO,"3,800",6/12/16,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABS-2A,NR (12/16),Multinational,Commercial,Communications,GEO,"1,800",6/15/16,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eutelsat 117 West B (Satmex 9),Mexico,Multinational,Commercial,Communications,LEO,"5,500",6/15/16,Cape Canaveral,Fathfinusrs for Gmericas's 20-116.8 Capellico GEO conscollation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRISat,NR (12/16),Indonesia,Commercial,Communications,MEO,"3,540",6/19/16,Guiana Space Center,First satellite owned and operated by a bank. Will expand secure banking communications to almost 60 million customers across the Indonesia archipelago.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Echostar 18,NR (12/16),USA,Commercial,Communications,GEO,"6,300",6/19/16,Guiana Space Center,First in Echostar's fleet to provide coverage to Cuba.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swayam,NR (12/16),India,Civil,Technology Development,LEO,1,6/22/16,Satish Dhawan Space Centre,Development of two-way communication system.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sathyabamasat,NR (12/16),India,Civil,Earth Science,GEO,2,6/22/16,Satish Dhawan Space Centre,"To collect data on green house gases (Water vapor, Carbon monoxide, Carbon dioxide, Methane and Hydrogen fluoride)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2p-1 ( (0 Flock 2P-1 0E0D),NR,USA,Commercial,Earth Observation,Elliptical,4,6/22/16,Satish Dhawan Space Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2p-10 (0 Flock 2P-10 0E2F),NR,USA,Commercial,Earth Observation,GEO,4,6/22/16,Satish Dhawan Space Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2p-11 (0 Flock 2P-11 0E30),NR,USA,Commercial,Earth Observation,GEO,4,6/22/16,Satish Dhawan Space Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2p-12 (0 Flock 2P-12 0E3A),NR,USA,Commercial,Earth Observation,LEO,4,6/22/16,Satish Dhawan Space Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2p-2 (0 Flock 2P-2 (0e0E),NR,USA,Commercial,Earth Observation,GEO,4,6/22/16,Satish Dhawan Space Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2p-3 (0 Flock 2P-3 (0E0F),NR,USA,Commercial,Earth Observation,GEO,4,6/22/16,Satish Dhawan Space Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2p-4 (0 Flock 2P-4 0E14),NR,USA,Commercial,Earth Observation,GEO,4,6/22/16,Satish Dhawan Space Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2p-5 (0 Flock 2P-5 0E16),NR,USA,Commercial,Earth Observation,LEO,4,6/22/16,Satish Dhawan Space Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2p-6 (0 Flock 2P-6 0E19),NR,USA,Commercial,Earth Observation,LEO,4,6/22/16,Satish Dhawan Space Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2p-7 (0 Flock 2P-7 0E1F),NR,USA,Commercial,Earth Observation,LEO,4,6/22/16,Satish Dhawan Space Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2p-8 (0 Flock 2P-8 0E20),NR,USA,Commercial,Earth Observation,LEO,4,6/22/16,Satish Dhawan Space Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2p-9 (0 Flock 2P-9 0E26),NR,USA,Commercial,Earth Observation,LEO,4,6/22/16,Satish Dhawan Space Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GHGSat-D (Greenhouse Gas Satellite - Demonstrator, Claire)",NR (12/16),Canada,Commercial,Earth Science,LEO,15,6/22/16,Satish Dhawan Space Centre,Demonstration satellite for a constellation monitoring emissions and greenhouse gases.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M3MSat (Maritime Monitoring and Messaging Microsatellite),NR (12/16),Canada,Government,Earth Observation,LEO,85,6/22/16,Satish Dhawan Space Centre,"Automatic Identification System (AIS) satellite; real-time data on the locations, speeds and routes of vessels through Canadian oceans.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SkySat-3 (SkySat Gen 2-1),NR,USA,Commercial,Earth Observation,MEO,110,6/22/16,Satish Dhawan Space Centre,Terra Bella is owned by Google.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAPAN A3,NR (12/16),Indonesia,Government,Earth Observation,MEO,115,6/22/16,Satish Dhawan Space Centre,Experimental remote sensing mission. Carries AIS and amateur radio.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIROS (Bispectral Infrared Optical System),Germany,Germany,Government,Earth Observation,LEO,130,6/22/16,Satish Dhawan Space Centre,Forest Fire recognition. Carries BeeSat 4 to be ejected later.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CartoSat 2C,NR (12/16),India,Government,Earth Observation,LEO,727,6/22/16,Satish Dhawan Space Centre ,Lower orbit for military application.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUOS-5 (Mobile User Objective System 5),NR (12/16),USA,Military,Communications,LEO,"6,804",6/24/16,Cape Canaveral,"Main engine failed during initial orbit-raising. Planned for 75 E, but is located at 105 W. Slightly more inclined than normal but can function. Spare. Completes the five-satellite constellation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaofen 3 ,NR,China,Government,Earth Observation,LEO,"1,000",8/9/16,Taiyuan Launch Center,"Part of the China High-resolution Earth Observation System, or CHEOS, a network of satellites supplying near-realtime data to Chinese government agencies.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JCSat 16 ,NR (12/16),Japan,Commercial,Communications,LEO,"4,500",8/14/16,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quantum Science Satellite (QSS, Micius, Mozi)",NR (12/16),China,Government,Space Science,LEO,700,8/15/16,Jiuquan Satellite Launch Center,Will test out quantum communications over great distances. Will establish quantum link between China and Austria.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 36 (IS-36),NR (12/16),USA,Commercial,Communications,LEO,"3,250",8/24/16,Guiana Space Center,"34 Ku-band, 10 C-band. Additional service to subsaharan Africa and East Asia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 33 (IS-33),NR (12/16),USA,Commercial,Communications,LEO,"6,600",8/24/16,Guiana Space Center,Equivalent of 269 Ku- and C-band transponders.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSAT 3DR (Indian National Satellite),NR (12/16),India,Government,Earth Observation,LEO,"2,200",9/8/16,Satish Dhawan Space Centre,"Carries color and infrared cameras to image storms day and night, and a sounder to collect temperature, humidity and ozone data in different layers of the atmosphere. The satellite will also relay observations from remote weather station and ocean buoys to forecast centers, and monitor for distress signals from ships, airplanes and others in need of rescue.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ofeq 11,NR (12/16),Israel,Military,Earth Observation,LEO,300,9/13/16,Palmachim Launch Complex ,Likely carries a high-resolution optical camera system to obtain detailed images of Israel’s neighbors from orbit.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2ep-13 (0 Flock 2EP-13 0C45),NR,USA,Commercial,Earth Observation,LEO,4,9/15/16,International Space Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2ep-14 (0 Flock 2EP-14 0C56),NR,USA,Commercial,Earth Observation,GEO,4,9/15/16,International Space Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2ep-15 (0 Flock 2EP-15 0C54),NR,USA,Commercial,Earth Observation,GEO,4,9/15/16,International Space Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2ep-16 (0 Flock 2EP-16 0C0B),NR,USA,Commercial,Earth Observation,GEO,4,9/15/16,International Space Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2ep-17 (0 Flock 2EP-17 0C12),NR,USA,Commercial,Earth Observation,LEO,4,9/15/16,International Space Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2ep-19 (0 Flock 2EP-19 0C62),NR,USA,Commercial,Earth Observation,GEO,4,9/15/16,International Space Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2ep-18 (0 Flock 2EP-18 0C44),NR,USA,Commercial,Earth Observation,GEO,4,9/16/16,International Space Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skysat-4,NR (12/16),USA,Commercial,Earth Observation,GEO,110,9/16/16,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skysat-5,NR (12/16),USA,Commercial,Earth Observation,MEO,110,9/16/16,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skysat-6,NR (12/16),USA,Commercial,Earth Observation,MEO,110,9/16/16,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skysat-7,NR (12/16),USA,Commercial,Earth Observation,MEO,110,9/16/16,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PeruSat-1,NR (12/16),Peru,Government,Earth Observation,LEO,430,9/16/16,Guiana Space Center,"Monitor agricultural growth, support urban planning, help enforce Peru’s borders, respond to natural disasters, and combat drug trafficking and detect illegal mining and logging damaging the delicate rainforest ecosystem in remote parts of the country.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 2ep-20 (0 Flock 2EP-20 0C38),NR,USA,Commercial,Earth Observation,LEO,4,9/17/16,International Space Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PISAT ,NR (12/16),India,Government,Technology Development,LEO,6,9/26/16,Satish Dhawan Space Centre,Student-built satellite for remote sensing.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlSat-1N,NR (12/16),Algeria,Government,Technology Development,LEO,10,9/26/16,Satish Dhawan Space Centre,Technology demonstration satellite for Algerian students.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CanX-7,NR (12/16),Canada,Civil,Technology Development,GEO,15,9/26/16,Satish Dhawan Space Centre ,Technology development mission validating a deorbit drag sail.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlackSky Pathfinder 1,NR (12/16),USA,Commercial,Earth Observation,GEO,44,9/26/16,Satish Dhawan Space Centre,First of two testbeds for a 60-satellite earth-observing constellation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alsat-1B,NR (12/16),Algeria,Government,Earth Observation,GEO,103,9/26/16,Satish Dhawan Space Centre,"Imagery for agricultural and resource monitoring, disaster management, land use mapping and urban planning,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alsat 2B,NR (12/16),Algeria,Government,Earth Observation,LEO,117,9/26/16,Satish Dhawan Space Centre,Surveillance.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ScatSat-1,NR (12/16),India,Government,Earth Observation,LEO,371,9/26/16,Satish Dhawan Space Centre,"Funded and built in India to join an international fleet of orbiting radars designed to track hurricanes, typhoons and other tropical cyclones.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSAT-18,NR (12/16),India,Government,Communications,GEO,"3,404",10/5/16,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sky Muster 2 (NBN-1B),NR (12/16),Australia,Commercial,Communications,LEO,"6,405",10/5/16,Guiana Space Center,Secone satellite built to guarantee internet to all Australians.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemur-2-Anubhavthakur (Lemur 2-F16),NR,USA,Commercial,Earth Observation,LEO,10,10/17/16,Wallops Island Flight Facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemur-2-Sokolsky (Lemur 2-F14),NR,USA,Commercial,Earth Observation,LEO,10,10/17/16,Wallops Island Flight Facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemur-2-Wingo (Lemur 2-F17),NR,USA,Commercial,Earth Observation,LEO,10,10/17/16,Wallops Island Flight Facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
