Name,Country_ of_Registry,Country_of_Operator,Users,Purpose,Class_of_Orbit,Launch_Mass,Date_of_Launch,Launch_Site,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Navstar GPS IIR-2 (Navstar SVN 43, PRN 13, USA 132)",USA,USA,Military/Commercial,Navigation/Global Positioning,LEO,"2,217",7/23/97,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ABS-3 (Agila 2, Mabuhay 1)",Philippines,Multinational,Commercial,Communications,LEO,"3,775",8/19/97,Xichang Satellite Launch Center,"Most powerful telecommunications satellite in service in the Asia-Pacific region; 30 C-band, 24 Ku-band transponders; 190 high fidelity channels and 50,000 simultaneous telephone links.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 22 (Iridium SV022),USA,USA,Government/Commercial,Communications,MEO,689,8/21/97,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 23 (Iridium SV023),USA,USA,Government/Commercial,Communications,GEO,689,8/21/97,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 25 (Iridium SV025),USA,USA,Government/Commercial,Communications,LEO,689,8/21/97,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 46 (Iridium SV046),USA,USA,Government/Commercial,Communications,LEO,689,8/21/97,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Intelsat 5 (Arabsat 2C, Panamsat-5, PAS-5)",USA,USA,Commercial,Communications,LEO,"2,730",8/28/97,Baikonur Cosmodrome,"28 C-band, 28 Ku-band; covers Arab world. Inclined.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORTÉ (Fast On-orbit Recording of Transient Events),USA,USA,Government,Earth Observation,LEO,215,8/29/97,Vandenberg AFB,"Electronic equipment for detecting, analyzing and recording bursts of radio energy (nuclear tests) from near Earth's surface (nonproliferation); study lightning; plastic satellite bus.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AMC-3 (Americom 3, GE-3)",USA,USA,Commercial,Communications,GEO,"2,845",9/4/97,Cape Canaveral,"Broadcasting, business, cable; CONUS, Hawaii, Caribbean, southern Canada; 24 Ku- and 24 C-band",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 31 (Iridium SVO31),USA,USA,Government/Commercial,Communications,LEO,689,9/14/97,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 32 (Iridium  SV032),USA,USA,Government/Commercial,Communications,GEO,689,9/14/97,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSS-5 (Intelsat 803),NR,Netherlands,Commercial,Communications,LEO,"3,412",9/23/97,Guiana Space Center,"38 C-band, 6 Ku-band; Pacific Ocean region; shared capacity with Intelset.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 19 (Iridium SV019),USA,USA,Government/Commercial,Communications,LEO,689,9/27/97,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 34 (Iridium SV034),USA,USA,Government/Commercial,Communications,GEO,689,9/27/97,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 35 (Iridium SV035),USA,USA,Government/Commercial,Communications,LEO,689,9/27/97,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 37 (Iridium SV037),USA,USA,Government/Commercial,Communications,LEO,689,9/27/97,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DSCS III-F10 (USA 135, DSCS III B-13) (Defense Satellite Communications System)",USA,USA,Military,Communications,LEO,"1,156",10/24/97,Cape Canaveral,"Super High Frequency (SHF) for U.S. government and military; sophisticated survivability enhancement; worldwide, longhaul coverage; X-band.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lacrosse/Onyx 3 (Lacrosse-3, USA 133)",USA,USA,Military,Earth Observation,LEO,"14,500",10/24/97,Vandenberg AFB,"$1 billion range; space-based imaging radar, uses radar pulses to see through clouds, fog, haze, darkness and generate images.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Trumpet 3 (NROL-4, National Reconnaissance Office Launch-4, USA 136)",USA,USA,Military,Earth Observation,GEO,"8,000",11/8/97,Cape Canaveral,Signals intelligence; surveillance of cellular phones.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 41 (Iridium SV041),USA,USA,Government/Commercial,Communications,LEO,689,11/9/97,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
